ISO,Year,Month,Day,TotalDeaths,TotalAffected
CHL,1971,7,9,85,2348973
CHL,1971,6,20,0,90000
CHL,1974,6,0,32,40000
CHL,1977,7,20,15,16800
CHL,1978,6,0,4,6000
CHL,1979,10,24,30,0
CHL,1982,6,22,0,8000
CHL,1983,10,4,4,1524
CHL,1984,7,0,85,242345
CHL,1984,7,0,42,80828
CHL,1985,3,3,180,1482275
CHL,1986,6,15,16,30806
CHL,1986,6,15,23,54118
CHL,1987,8,8,5,5112
CHL,1987,7,17,73,116364
CHL,1987,8,12,54,81000
CHL,1987,11,29,32,30
CHL,1988,12,0,0,2000
CHL,1989,7,29,21,0
CHL,1990,3,5,0,2500
CHL,1991,8,13,0,63200
CHL,1991,6,13,1,40
CHL,1991,1,0,0,0
CHL,1991,6,19,141,82811
CHL,1992,5,26,0,20000
CHL,1992,0,0,0,0
CHL,1992,6,6,0,18000
CHL,1993,4,19,6,350
CHL,1993,5,5,109,3276
CHL,1993,1,0,0,0
CHL,1995,7,30,3,1833
CHL,1995,8,15,2,10000
CHL,1995,5,8,28,0
CHL,1997,10,14,8,53098
CHL,1997,6,10,22,76800
CHL,1997,6,20,0,250
CHL,1997,6,4,4,2000
CHL,1997,4,6,10,300
CHL,1999,1,2,0,1000
CHL,2000,6,12,15,139667
CHL,2000,6,5,1,42000
CHL,2000,7,3,0,0
CHL,2001,2,16,0,2559
CHL,2001,5,29,2,2400
CHL,2001,5,26,0,10000
CHL,2001,7,30,4,0
CHL,2002,5,24,14,221842
CHL,2002,8,24,2,8000
CHL,2002,10,12,3,800
CHL,2002,7,0,0,25000
CHL,2002,2,0,0,0
CHL,2003,1,23,0,285
CHL,2004,6,30,3,9000
CHL,2004,7,0,0,0
CHL,2005,6,13,11,27645
CHL,2005,6,26,5,800
CHL,2005,5,18,45,112
CHL,2005,8,26,0,548
CHL,2006,7,11,18,95862
CHL,2007,4,21,10,0
CHL,2007,11,14,2,25155
CHL,2007,7,0,6,0
CHL,2008,5,19,5,40000
CHL,2008,8,29,4,104755
CHL,2008,5,2,0,8000
CHL,2010,2,27,562,2671556
CHL,2010,7,0,0,150
CHL,2011,6,4,0,3500
CHL,2011,7,13,0,25475
CHL,2011,2,0,0,400
CHL,2011,7,13,0,25475
CHL,2011,12,29,1,1082
CHL,2012,3,25,1,24297
CHL,2012,3,1,0,4300
CHL,2012,1,1,7,0
CHL,2013,9,10,0,0
CHL,2014,4,1,6,513387
CHL,2014,6,11,0,12555
CHL,2014,4,12,12,11000
CHL,2015,8,8,6,938
CHL,2015,3,25,178,193881
CHL,2015,9,16,19,681499
CHL,2015,4,24,0,4000
CHL,2015,3,0,0,3600
CHL,2015,3,13,1,32
CHL,2015,5,17,0,116
CHL,2016,4,15,12,100
CHL,2017,6,16,4,3024
CHL,2017,2,24,3,1200
CHL,2017,1,15,11,7623
CHL,2017,12,17,22,142
CHL,2017,5,11,2,3000
CHL,2019,1,19,2,780
CHL,2019,2,1,6,600
CHL,2021,1,29,0,521
CHL,2021,6,1,0,610
ARG,1970,1,4,36,0
ARG,1972,1,4,100,0
ARG,1973,1,1,60,300
ARG,1974,2,0,100,100000
ARG,1975,3,13,20,0
ARG,1977,11,23,70,40100
ARG,1977,1,0,0,2500
ARG,1978,1,0,0,1600
ARG,1978,10,30,5,100
ARG,1979,5,0,0,20000
ARG,1980,3,15,10,4000
ARG,1980,5,1,31,36000
ARG,1982,12,0,0,50000
ARG,1983,5,0,0,5830000
ARG,1983,8,0,0,250000
ARG,1984,1,0,30,12014
ARG,1985,1,26,6,45238
ARG,1985,5,30,25,1000000
ARG,1985,10,0,12,206000
ARG,1986,12,0,1,1000
ARG,1986,4,11,3,204000
ARG,1987,1,22,0,152752
ARG,1987,4,0,0,12000
ARG,1987,1,0,1,1000
ARG,1988,3,23,25,4600000
ARG,1990,4,0,21,2000
ARG,1991,8,13,0,63200
ARG,1992,1,1,45,2000
ARG,1992,4,1,0,86074
ARG,1992,2,0,67,3883
ARG,1993,5,11,0,0
ARG,1993,9,0,0,0
ARG,1993,2,6,15,8000
ARG,1993,1,0,0,0
ARG,1994,1,21,24,0
ARG,1995,1,21,0,1000
ARG,1995,3,17,0,1500
ARG,1995,9,0,0,25000
ARG,1995,4,10,6,6000
ARG,1997,11,4,0,12500
ARG,1998,2,7,0,4000
ARG,1998,4,11,19,360000
ARG,1999,1,0,0,0
ARG,2000,12,27,1,430
ARG,2000,9,0,0,0
ARG,2000,3,9,7,6000
ARG,2000,6,17,15,300
ARG,2000,12,0,8,0
ARG,0,0,0,0,0
ARG,2000,11,9,0,0
ARG,2000,11,22,2,1800
ARG,2001,1,10,4,650
ARG,2001,10,1,1,250000
ARG,2001,7,0,14,3000
ARG,2001,8,0,0,0
ARG,2001,3,21,0,600
ARG,2001,4,5,16,2000
ARG,2001,7,0,0,700
