Country,Start Month,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature ,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,mean_deaths_per_month,CountryMonthlyMean,GlobalMonthlyMean
Afghanistan,1.0,0,3,2,3,4,4,0,0,0,0,4,0,4,0,0,164.11111111111111,132.42710708045664,434.68226600985224
Afghanistan,2.0,0,0,5,0,0,5,0,0,0,0,8,0,4,0,0,190.89473684210526,132.42710708045664,185.49571428571429
Afghanistan,3.0,0,0,3,3,0,11,0,0,0,0,8,0,0,0,0,114.8695652173913,132.42710708045664,151.31508875739644
Afghanistan,4.0,0,1,6,1,1,19,0,0,0,0,2,0,0,0,0,133.75,132.42710708045664,526.7740693196406
Afghanistan,5.0,0,1,4,2,0,21,0,0,0,0,0,0,1,0,0,253.08,132.42710708045664,1085.6772366930918
Afghanistan,6.0,0,0,5,2,0,8,0,0,0,0,1,0,0,0,1,208.46153846153845,132.42710708045664,237.06111696522655
Afghanistan,7.0,0,1,2,3,0,16,0,0,0,0,3,0,0,0,0,39.333333333333336,132.42710708045664,5728.0
Afghanistan,8.0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,60.0,132.42710708045664,280.8321108394458
Afghanistan,9.0,0,0,0,2,0,5,0,0,0,1,1,0,0,0,0,71.375,132.42710708045664,365.75765765765766
Afghanistan,10.0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,58.25,132.42710708045664,511.2567567567568
Afghanistan,11.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,171.5,132.42710708045664,581.2519280205655
Afghanistan,12.0,0,0,4,1,1,2,0,0,0,0,1,0,0,0,0,123.5,132.42710708045664,1039.5979899497488
Albania,1.0,0,0,2,0,2,2,0,0,0,0,1,0,2,0,0,27.666666666666668,35.029629629629625,434.68226600985224
Albania,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,35.029629629629625,185.49571428571429
Albania,3.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,41.5,35.029629629629625,151.31508875739644
Albania,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21.0,35.029629629629625,526.7740693196406
Albania,6.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,120.0,35.029629629629625,237.06111696522655
